game_id,season,quarter,time,minute,second,play,pos_team,away_score,home_score
4eqyt7yhtfqo,2026,3,6:06,6,6,Dearica Hamby personal foul (Aaliyah Edwards draws the foul),Vinyl,40,39
4eqyt7yhtfqo,2026,3,6:01,6,1,Marina Mabrey offensive foul (Rhyne Howard draws the foul),Lunar Owls,40,39
4eqyt7yhtfqo,2026,3,6:01,6,1,Marina Mabrey turnover (offensive foul),Lunar Owls,40,39
4eqyt7yhtfqo,2026,3,5:48,5,48,Courtney Williams misses two point pullup jump shot,Vinyl,40,39
4eqyt7yhtfqo,2026,3,5:46,5,46,Aaliyah Edwards defensive rebound,Lunar Owls,40,39
4eqyt7yhtfqo,2026,3,5:45,5,45,Rebecca Allen misses three point jump shot,Lunar Owls,40,39
4eqyt7yhtfqo,2026,3,5:43,5,43,Dearica Hamby defensive rebound,Vinyl,40,39
4eqyt7yhtfqo,2026,3,5:32,5,32,Marina Mabrey personal foul (Dearica Hamby draws the foul),Lunar Owls,40,39
4eqyt7yhtfqo,2026,3,5:24,5,24,Rebecca Allen personal foul (Dearica Hamby draws the foul),Lunar Owls,40,39
4eqyt7yhtfqo,2026,3,5:19,5,19,Courtney Williams makes two point pullup jump shot,Vinyl,42,39
4eqyt7yhtfqo,2026,3,5:06,5,6,Aaliyah Edwards misses two point driving layup,Lunar Owls,42,39
4eqyt7yhtfqo,2026,3,5:04,5,4,Aaliyah Edwards offensive rebound,Lunar Owls,42,39
4eqyt7yhtfqo,2026,3,5:01,5,1,Rebecca Allen makes two point floating jump shot,Lunar Owls,42,41
4eqyt7yhtfqo,2026,3,4:43,4,43,Rhyne Howard makes two point jump shot,Vinyl,44,41
4eqyt7yhtfqo,2026,3,4:27,4,27,Lunar Owls 30 second timeout,Lunar Owls,44,41
4eqyt7yhtfqo,2026,3,4:19,4,19,Marina Mabrey misses three point jump shot,Lunar Owls,44,41
4eqyt7yhtfqo,2026,3,4:17,4,17,Aaliyah Edwards offensive rebound,Lunar Owls,44,41
4eqyt7yhtfqo,2026,3,4:14,4,14,Aaliyah Edwards turnover (lost ball) (Rhyne Howard steals),Lunar Owls,44,41
4eqyt7yhtfqo,2026,3,4:14,4,14,Rebecca Allen personal foul (Rhyne Howard draws the foul),Lunar Owls,44,41
4eqyt7yhtfqo,2026,3,4:14,4,14,Rebecca Allen technical foul,Lunar Owls,44,41
4eqyt7yhtfqo,2026,3,4:14,4,14,Rhyne Howard makes one point free throw,Vinyl,45,41
4eqyt7yhtfqo,2026,3,4:14,4,14,"Vinyl lineup change (Dearica Hamby, Erica Wheeler, Rhyne Howard)",Vinyl,45,41
